Nama Tempat,Lokasi,Kategori,Rating,Jumlah Review,Harga Tiket,Pengikut IG,Fasilitas,Review
Hotel Bukit Sarinongko,Pringsewu,Hotel,3.9,85,0,2472,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Kamarnya bersih dan nyaman. Kasurnya empuk banget, tidur jadi nyenyak. Sarapannya enak dan variatif. Staf sangat ramah dan siap membantu. Lokasi strategis, dekat dengan pusat kota. Pasti balik lagi!"
OYO HOMES 91255 Desa Wisata Embung Purworejo Syariah,Pringsewu,Hotel,3.1,10,0,434,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pelayanan prima dari check-in hingga check-out. Kamar luas dan terawat. Kolam renangnya bersih. Sarapan bufetnya memuaskan. Harga sepadan dengan fasilitas. Recommended untuk keluarga!
OYO 3983 Balong Kuring Syariah Pringsewu,Pringsewu,Hotel,2.4,14,0,512,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Tempatnya nyaman dan tenang. Jauh dari kebisingan kota tapi tetap strategis. Kamar ber-AC dingin, kasur nyaman, toilet bersih. Layanan kamar 24 jam sangat membantu. Sangat puas!"
Losmen Grand Wisata,Pringsewu,Hotel,4,187,0,3655,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Hotel yang solid untuk harganya. Tidak ada yang mengecewakan selama menginap. Sarapannya enak, staf ramah, kamar bersih. Wi-Fi lancar untuk kerja. Value for money banget!"
Pringombo Homestay 2,Pringsewu,Hotel,4.3,110,0,2011,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Kamarnya bersih dan nyaman. Kasurnya empuk banget, tidur jadi nyenyak. Sarapannya enak dan variatif. Staf sangat ramah dan siap membantu. Lokasi strategis, dekat dengan pusat kota. Pasti balik lagi!"
D'Grand Melati,Pringsewu,Hotel,4.4,127,0,5085,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Kamarnya bersih dan nyaman. Kasurnya empuk banget, tidur jadi nyenyak. Sarapannya enak dan variatif. Staf sangat ramah dan siap membantu. Lokasi strategis, dekat dengan pusat kota. Pasti balik lagi!"
Masaya Cafe & Eatery,Pringsewu,Cafe,4.9,298,30000,6143,"Wi-Fi kencang, colokan listrik di setiap meja, AC, parkir motor, toilet bersih, menu vegan, outdoor seating","menu favorit ricebowl chicken matah, matcha seasalt latte"
Kae.space,Pringsewu,Cafe,4.6,90,30000,9888,"Cozy corner tersedia, AC, Wi-Fi gratis, charging station, toilet, parkir motor & mobil, snack box untuk takeaway",aesthetic & lucu bgt tiap sudutnya!!
semesta coffee & space,Pringsewu,Cafe,4.1,196,30000,3523,"Wi-Fi kencang, colokan listrik di setiap meja, AC, parkir motor, toilet bersih, menu vegan, outdoor seating",Nama lainya
Habis Senja Coffee & Resto,Pringsewu,Cafe,4.9,12,30000,9211,"Study corner, Wi-Fi 50Mbps, colokan banyak, AC, mushola, parkir, wastafel, menu all-day breakfast",Coffee ny enak banget sama Snack ny juga enak gayss
Cafe Pawon Sekeco,Pringsewu,Cafe,4.6,75,30000,5851,"Booth cantik untuk foto, Wi-Fi, AC, parkir motor, kursi ergonomis, stop kontak, menu kopi specialty","Suasananya nyaman, masakannya ok, tapi sayang sambalnya kurang enak."
Archa coffee and artspace,Pringsewu,Cafe,4.9,33,30000,7930,"Booth cantik untuk foto, Wi-Fi, AC, parkir motor, kursi ergonomis, stop kontak, menu kopi specialty","Mantap buat nyantai, dan menikmati kopi dan bebek brutalnya"
Delapan Enam Coffee,Pringsewu,Cafe,4.6,179,30000,9653,"Study corner, Wi-Fi 50Mbps, colokan banyak, AC, mushola, parkir, wastafel, menu all-day breakfast","Churros nya keras ðŸ¥²
 Gelas V60 & jug nya kegedean."
Balik Bukit Coffee and Dinning,Pringsewu,Cafe,4.5,181,30000,11977,"Wi-Fi kencang, colokan listrik di setiap meja, AC, parkir motor, toilet bersih, menu vegan, outdoor seating","baguss,kasir ramah dan cantik,meja bikiard dan"
Warunk Lesung,Pringsewu,Cafe,4.7,124,30000,3006,"Cozy corner tersedia, AC, Wi-Fi gratis, charging station, toilet, parkir motor & mobil, snack box untuk takeaway",Tempatnya nyaman dan makanan serta minuman nya menggoda.
El Zafran kafe dan lesehan,Pringsewu,Cafe,4.9,15,50000,7978,"Sofa nyaman, meja kerja panjang, Wi-Fi 100Mbps, colokan, AC, live acoustic music Jumat-Sabtu, parkir gratis",Makan di tempat
dsawah.idn,Pringsewu,Cafe,4.9,38,25000,7700,"Booth cantik untuk foto, Wi-Fi, AC, parkir motor, kursi ergonomis, stop kontak, menu kopi specialty",Tempatnya nyaman banget buat nongki nongki cantik
Manohara Cafe,Pringsewu,Cafe,4.6,70,30000,6443,"Suasana estetik, Wi-Fi, spot foto, AC, outdoor area, parkir, delivery via GoFood & GrabFood, menu seasonal","Wort it bngt nongki disinii ,makanannya enakk asle 10/10âœ¨âœ¨âœ¨"
Coffee Klasik,Pringsewu,Cafe,4.6,41,30000,10043,"Wi-Fi kencang, colokan listrik di setiap meja, AC, parkir motor, toilet bersih, menu vegan, outdoor seating",Untung nongkrong ngopi dan makan enak harganya terjangkau juga.
Cafe ABC Gading Rejo,Pringsewu,Cafe,4.2,208,30000,3175,"Wi-Fi kencang, colokan listrik di setiap meja, AC, parkir motor, toilet bersih, menu vegan, outdoor seating",Tempat nongkrong di daerah gadingrejo yang adem view sawah dan sejuk.
IDJN KOPI,Pringsewu,Cafe,4.9,110,50000,8279,"Suasana estetik, Wi-Fi, spot foto, AC, outdoor area, parkir, delivery via GoFood & GrabFood, menu seasonal",Bisa delivery minuman dan camilan.
Radio Saburai Pringsewu & Cafe Saburai,Pringsewu,Cafe,4.6,42,30000,10618,"Study corner, Wi-Fi 50Mbps, colokan banyak, AC, mushola, parkir, wastafel, menu all-day breakfast",Enak dan nyaman
4 Hood Cafe & Resto,Pringsewu,Cafe,4.9,10,50000,10238,"Wi-Fi kencang, colokan listrik di setiap meja, AC, parkir motor, toilet bersih, menu vegan, outdoor seating","jadi, nongkrong sambil memanjakan mata gituu"
Simpang Lima Coffee,Pringsewu,Cafe,4.4,56,25000,10244,"Suasana estetik, Wi-Fi, spot foto, AC, outdoor area, parkir, delivery via GoFood & GrabFood, menu seasonal",Makan di tempat
Kindjeng Cafe,Pringsewu,Cafe,4.5,82,25000,6501,"Suasana estetik, Wi-Fi, spot foto, AC, outdoor area, parkir, delivery via GoFood & GrabFood, menu seasonal","makanannya enak,tempatnya bagus tapi cake matcha nya kurang suka"
Coffee Lake,Pringsewu,Cafe,4.4,60,50000,11375,"Suasana estetik, Wi-Fi, spot foto, AC, outdoor area, parkir, delivery via GoFood & GrabFood, menu seasonal",Menu tempe mendoan
KEBARATIMUR COFFEE,Pringsewu,Cafe,5,24,50000,10752,"Cozy corner tersedia, AC, Wi-Fi gratis, charging station, toilet, parkir motor & mobil, snack box untuk takeaway",Oke nyaman cocok bagi yang mencari ketenangan
Bw kopi and roastery,Pringsewu,Cafe,4.4,578,30000,5780,"Sofa nyaman, meja kerja panjang, Wi-Fi 100Mbps, colokan, AC, live acoustic music Jumat-Sabtu, parkir gratis","Enak Enak, Wifi nya kenceng banget
 ATOME88"
Cafe & Karaoke Green,Pringsewu,Cafe,4.1,218,100000,3498,"Sofa nyaman, meja kerja panjang, Wi-Fi 100Mbps, colokan, AC, live acoustic music Jumat-Sabtu, parkir gratis",Overall good.
BUMI AYU RESTO & CAFE,Pringsewu,Cafe,4.2,214,25000,1147,"Area rooftop, Wi-Fi, AC dalam ruangan, outdoor terrace, parkir, toilet bersih, background foto unik",SDM di resto dikasih pelatihan untuk pelayanan.
ALEGRA CAFE,Pringsewu,Cafe,4.3,12,50000,1962,"Cozy corner tersedia, AC, Wi-Fi gratis, charging station, toilet, parkir motor & mobil, snack box untuk takeaway",Makannya enak dan pelayanan ramah mantappppp
D'Pring's Cafe,Pringsewu,Cafe,4.3,32,25000,2911,"Area rooftop, Wi-Fi, AC dalam ruangan, outdoor terrace, parkir, toilet bersih, background foto unik",Makan di tempat
Dodi Cafe,Pringsewu,Cafe,4.9,7,50000,8491,"Booth cantik untuk foto, Wi-Fi, AC, parkir motor, kursi ergonomis, stop kontak, menu kopi specialty",Makan di tempat
Repvblikuye food & drink,Pringsewu,Cafe,5,13,30000,4530,"Study corner, Wi-Fi 50Mbps, colokan banyak, AC, mushola, parkir, wastafel, menu all-day breakfast",Minuman kekinian dengan bahan premium dan harga yang sangat bersahabat
CAFE L557,Pringsewu,Cafe,4.3,15,25000,3876,"Sofa nyaman, meja kerja panjang, Wi-Fi 100Mbps, colokan, AC, live acoustic music Jumat-Sabtu, parkir gratis",Makan di tempat
KMBI Cafe,Pringsewu,Cafe,4.2,10,50000,1762,"Sofa nyaman, meja kerja panjang, Wi-Fi 100Mbps, colokan, AC, live acoustic music Jumat-Sabtu, parkir gratis",Makan di tempat
Ummika caffe & resto,Pringsewu,Cafe,3.9,106,25000,3555,"Sofa nyaman, meja kerja panjang, Wi-Fi 100Mbps, colokan, AC, live acoustic music Jumat-Sabtu, parkir gratis",Harga standar untuk ukuran
Kedai Milenio Garden,Pringsewu,Cafe,4.5,19,50000,8085,"Wi-Fi kencang, colokan listrik di setiap meja, AC, parkir motor, toilet bersih, menu vegan, outdoor seating",tempatnya nyaman dan estetik.
Bard Rock Cafe,Pringsewu,Cafe,4,19,30000,1720,"Area rooftop, Wi-Fi, AC dalam ruangan, outdoor terrace, parkir, toilet bersih, background foto unik",Tempat nongkrong kecil di pajaresuk.
Point Coffee,Pringsewu,Cafe,4.4,24,30000,6262,"Study corner, Wi-Fi 50Mbps, colokan banyak, AC, mushola, parkir, wastafel, menu all-day breakfast",ngopi massseeeeee
RedDoorz @ Guesthouse Oemah Opa Metro,Metro,Hotel,3.8,197,170003,1403,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pelayanan prima dari check-in hingga check-out. Kamar luas dan terawat. Kolam renangnya bersih. Sarapan bufetnya memuaskan. Harga sepadan dengan fasilitas. Recommended untuk keluarga!
Hometown Residence,Metro,Hotel,4.4,93,220032,3400,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pengalaman menginap yang sangat menyenangkan. Kamar bersih dan wangi. Pilihan sarapan bervariasi. Staf responsif dan profesional. Fasilitas lengkap. Akan kembali lagi di kunjungan berikutnya.
RedDoorz @ Guesthouse Oemah Opa Metro,Metro,Hotel,3.8,197,118000,989,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pelayanan prima dari check-in hingga check-out. Kamar luas dan terawat. Kolam renangnya bersih. Sarapan bufetnya memuaskan. Harga sepadan dengan fasilitas. Recommended untuk keluarga!
OYO 1804 Guest House Oema'h Opa,Metro,Hotel,4,2,118000,1802,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pelayanan prima dari check-in hingga check-out. Kamar luas dan terawat. Kolam renangnya bersih. Sarapan bufetnya memuaskan. Harga sepadan dengan fasilitas. Recommended untuk keluarga!
Wisma Citra Metro,Metro,Hotel,3.7,43,114000,2746,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pengalaman menginap yang sangat menyenangkan. Kamar bersih dan wangi. Pilihan sarapan bervariasi. Staf responsif dan profesional. Fasilitas lengkap. Akan kembali lagi di kunjungan berikutnya.
RedDoorz near Taman Merdeka Metro Lampung,Metro,Hotel,4.2,136,156000,3303,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pengalaman menginap yang sangat menyenangkan. Kamar bersih dan wangi. Pilihan sarapan bervariasi. Staf responsif dan profesional. Fasilitas lengkap. Akan kembali lagi di kunjungan berikutnya.
Guest House Syariah Bunga Intan RedPartner,Metro,Hotel,4.8,40,135000,4193,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pengalaman menginap yang sangat menyenangkan. Kamar bersih dan wangi. Pilihan sarapan bervariasi. Staf responsif dan profesional. Fasilitas lengkap. Akan kembali lagi di kunjungan berikutnya.
Wisma Sakinah,Metro,Hotel,4.1,164,210000,2665,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Kamarnya bersih dan nyaman. Kasurnya empuk banget, tidur jadi nyenyak. Sarapannya enak dan variatif. Staf sangat ramah dan siap membantu. Lokasi strategis, dekat dengan pusat kota. Pasti balik lagi!"
Hotel Familie 2,Metro,Hotel,4,699,215000,2497,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Kamarnya bersih dan nyaman. Kasurnya empuk banget, tidur jadi nyenyak. Sarapannya enak dan variatif. Staf sangat ramah dan siap membantu. Lokasi strategis, dekat dengan pusat kota. Pasti balik lagi!"
Hotel syariah GS HERITAGE,Metro,Hotel,4.1,796,190000,3379,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Tempatnya nyaman dan tenang. Jauh dari kebisingan kota tapi tetap strategis. Kamar ber-AC dingin, kasur nyaman, toilet bersih. Layanan kamar 24 jam sangat membantu. Sangat puas!"
Grand Venetian Hotel,Metro,Hotel,4.4,439,381000,6185,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Tempatnya nyaman dan tenang. Jauh dari kebisingan kota tapi tetap strategis. Kamar ber-AC dingin, kasur nyaman, toilet bersih. Layanan kamar 24 jam sangat membantu. Sangat puas!"
NSO HOTEL & GSG,Metro,Hotel,4,9,247000,3742,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pelayanan prima dari check-in hingga check-out. Kamar luas dan terawat. Kolam renangnya bersih. Sarapan bufetnya memuaskan. Harga sepadan dengan fasilitas. Recommended untuk keluarga!
Hotel Wisma Zahra 2 Metro,Metro,Hotel,4.4,94,0,9291,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pelayanan prima dari check-in hingga check-out. Kamar luas dan terawat. Kolam renangnya bersih. Sarapan bufetnya memuaskan. Harga sepadan dengan fasilitas. Recommended untuk keluarga!
Wisma Zahra,Metro,Hotel,4.1,131,0,2824,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Tempatnya nyaman dan tenang. Jauh dari kebisingan kota tapi tetap strategis. Kamar ber-AC dingin, kasur nyaman, toilet bersih. Layanan kamar 24 jam sangat membantu. Sangat puas!"
Hotel alvaro,Metro,Hotel,4.5,4,0,9547,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Hotel yang solid untuk harganya. Tidak ada yang mengecewakan selama menginap. Sarapannya enak, staf ramah, kamar bersih. Wi-Fi lancar untuk kerja. Value for money banget!"
Hotel Nuban Metro,Metro,Hotel,4.2,218,0,1799,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pelayanan prima dari check-in hingga check-out. Kamar luas dan terawat. Kolam renangnya bersih. Sarapan bufetnya memuaskan. Harga sepadan dengan fasilitas. Recommended untuk keluarga!
Grescia Hotel,Metro,Hotel,3,1,0,251,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Hotel yang solid untuk harganya. Tidak ada yang mengecewakan selama menginap. Sarapannya enak, staf ramah, kamar bersih. Wi-Fi lancar untuk kerja. Value for money banget!"
AIDIA Grande Hotel,Metro,Hotel,4.8,4763,550000,3090,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Hotel yang solid untuk harganya. Tidak ada yang mengecewakan selama menginap. Sarapannya enak, staf ramah, kamar bersih. Wi-Fi lancar untuk kerja. Value for money banget!"
Hotel Citra III Metro Lampung,Metro,Hotel,3.8,124,0,3875,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi",Pengalaman menginap yang sangat menyenangkan. Kamar bersih dan wangi. Pilihan sarapan bervariasi. Staf responsif dan profesional. Fasilitas lengkap. Akan kembali lagi di kunjungan berikutnya.
Srikandi Hotel,Metro,Hotel,4.1,169,0,3954,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Kamarnya bersih dan nyaman. Kasurnya empuk banget, tidur jadi nyenyak. Sarapannya enak dan variatif. Staf sangat ramah dan siap membantu. Lokasi strategis, dekat dengan pusat kota. Pasti balik lagi!"
Mulyojaten Hotel & Resto,Metro,Hotel,4.6,29,0,4746,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Tempatnya nyaman dan tenang. Jauh dari kebisingan kota tapi tetap strategis. Kamar ber-AC dingin, kasur nyaman, toilet bersih. Layanan kamar 24 jam sangat membantu. Sangat puas!"
RedDoorz @ Aziziah Homestay Lampung,Metro,Hotel,4.3,304,0,3988,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Kamarnya bersih dan nyaman. Kasurnya empuk banget, tidur jadi nyenyak. Sarapannya enak dan variatif. Staf sangat ramah dan siap membantu. Lokasi strategis, dekat dengan pusat kota. Pasti balik lagi!"
KOS MELATI NOMOR 2,Metro,Hotel,4.4,7,0,9965,"Wi-Fi gratis, Parkir gratis, AC, Wi-Fi","Tempatnya nyaman dan tenang. Jauh dari kebisingan kota tapi tetap strategis. Kamar ber-AC dingin, kasur nyaman, toilet bersih. Layanan kamar 24 jam sangat membantu. Sangat puas!"
Dapur Putih Heritage,Metro,Kuliner,4.3,757,25000,1696,"Parkir gratis, toilet, area makan terbuka dengan pemandangan alam, spot foto instagramable, Wi-Fi, kursi outdoor","Rekomen, tempat enak menu banyak dn variatif enakkkkk pokoknya"
The Thuba Cafe' & Resto,Metro,Kuliner,4.9,5373,50000,12881,"Ruang VIP tersedia, AC, parkir luas, toilet bersih, mushola, kasir digital, menu vegetarian tersedia, katering","tempatnya nyaman,bersih, aesthetic jugaaak, pelayanan bagus,makanan enak."
Joffi Ramen Metro,Metro,Kuliner,4.8,751,30000,11486,"Tempat parkir luas, toilet umum, area makan indoor/outdoor, taman bermain anak, Wi-Fi, live cooking","tempatnya enak, parkir luas, pelayanan ramah, harga murah"
Saung Bang Ocit 3,Metro,Kuliner,4.5,131,30000,10611,"Area parkir memadai, toilet, wastafel, ruang makan ber-AC, live music setiap akhir pekan, layanan pesan antar","Tempat nya cozy, buat makan bersama keluarga harga nya pun worth it"
Milestone Coffee & Eat,Metro,Kuliner,4.4,157,30000,3822,"Parkir gratis, toilet, area makan terbuka dengan pemandangan alam, spot foto instagramable, Wi-Fi, kursi outdoor",Harga murah pilihan menu yang pas dan rasa yang cocok.
Bengkel perut d'sawah,Metro,Kuliner,4.2,652,30000,3083,"Ruang VIP tersedia, AC, parkir luas, toilet bersih, mushola, kasir digital, menu vegetarian tersedia, katering","enak makanannya, enak saungnya cuma kalo hujan ya wasalaam.."
Chatime Sudirman Metro Lampung,Metro,Kuliner,4.8,328,30000,7082,"Area parkir memadai, toilet, wastafel, ruang makan ber-AC, live music setiap akhir pekan, layanan pesan antar","Mantap pelayanan, enak minuman dan makanannya,"
Makan Minum Metro,Metro,Kuliner,4.5,10,30000,4988,"Area parkir memadai, toilet, wastafel, ruang makan ber-AC, live music setiap akhir pekan, layanan pesan antar",Enak suka makananya
Pondok Makan 21,Metro,Kuliner,4.1,1097,30000,2669,"Parkir gratis, toilet, area makan terbuka dengan pemandangan alam, spot foto instagramable, Wi-Fi, kursi outdoor",Recomanded nihhh...murah harga nya makyuss rasa nya nyamann ...
Pance Coffee Metro,Metro,Kuliner,4.5,274,25000,5184,"Tempat parkir luas, toilet umum, area makan indoor/outdoor, taman bermain anak, Wi-Fi, live cooking","Tempatnya bersih,lumayan enak buat nongkrong makannya ya lumayan."
Campanella Coffee and Eatery,Metro,Kuliner,4,132,25000,2703,"Parkir motor & mobil, mushola, kamar mandi bersih, area lesehan, gazebo outdoor, Wi-Fi, paket catering tersedia",Makanan & minuman cukup enak dan harga terjangkau.
DAI RESTO,Metro,Kuliner,4.5,33,30000,11702,"Parkir gratis, toilet, area makan terbuka dengan pemandangan alam, spot foto instagramable, Wi-Fi, kursi outdoor",Makan di tempat
Lacosta Metro,Metro,Kuliner,4.5,1612,30000,8198,"Parkir motor & mobil, mushola, kamar mandi bersih, area lesehan, gazebo outdoor, Wi-Fi, paket catering tersedia","Cozy sekali, ada live music, makanan enak, staf ramah"
Haecaferesto,Metro,Kuliner,3.7,123,30000,3893,"Tempat parkir luas, toilet umum, area makan indoor/outdoor, taman bermain anak, Wi-Fi, live cooking","Makanan enak, tempat strategis, bersih, tempat parkir mobil luas."
RM Suroboyo,Metro,Kuliner,4.3,1102,30000,10251,"Parkir luas, toilet bersih, mushola, area makan indoor dan outdoor, AC, Wi-Fi gratis, kursi bayi tersedia, area bebas rokok","Saya makan rawon... Enak
 Ayam goreng juga enak
 Murah"
Lembah Dempo Cafe N Resto,Metro,Kuliner,4.1,843,30000,3309,"Parkir, mushola, kamar mandi, area lesehan karpet, meja panjang untuk rombongan, AC, kulkas minuman sendiri","Tempatnya bagus, bersih, nyaman, masakannya enak, fasilitas lengkap"
Rumah Makan Seruwit HJ. Yohana,Metro,Kuliner,4.4,539,30000,11270,"Parkir gratis, toilet, area makan terbuka dengan pemandangan alam, spot foto instagramable, Wi-Fi, kursi outdoor",Di sini bisa makan makanan khas Lampung yang rasanya mantap.
Almaz Fried Chicken - Metro Lampung,Metro,Kuliner,4.7,115,30000,9991,"Parkir motor & mobil, mushola, kamar mandi bersih, area lesehan, gazebo outdoor, Wi-Fi, paket catering tersedia",makannya enak harga nya terjangkau dan pelayanan ramah ramah
Wisata kuliner Metro,Metro,Kuliner,4.6,184,30000,11976,"Tempat parkir luas, toilet umum, area makan indoor/outdoor, taman bermain anak, Wi-Fi, live cooking",Pakde Jogja The Best Di Sumur Bandung ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘
Rumah Makan Kayu Watu,Metro,Kuliner,4.1,1345,30000,2626,"Ruang VIP tersedia, AC, parkir luas, toilet bersih, mushola, kasir digital, menu vegetarian tersedia, katering",Menu nya murah dan enak
MaMa CafÃ© & Resto,Metro,Kuliner,4.3,300,50000,1451,"Area parkir memadai, toilet, wastafel, ruang makan ber-AC, live music setiap akhir pekan, layanan pesan antar","Tempatnya enak,keren jg ada live music"
Rumah Makan OMEGA 2 MANOHARA,Metro,Kuliner,4.4,774,25000,10777,"Parkir luas, toilet bersih, mushola, area makan indoor dan outdoor, AC, Wi-Fi gratis, kursi bayi tersedia, area bebas rokok","Makanannya enakÂ², cuman service dan informasi makanannya kurang."
Pawon Mas Resto,Metro,Kuliner,4.3,208,30000,2643,"Parkir gratis, toilet, area makan terbuka dengan pemandangan alam, spot foto instagramable, Wi-Fi, kursi outdoor",Recomended Nasi Bakar nya Top Bgt
RED CRAB RESTO - METRO,Metro,Kuliner,4.5,46,30000,7246,"Parkir motor & mobil, mushola, kamar mandi bersih, area lesehan, gazebo outdoor, Wi-Fi, paket catering tersedia","Makanan lumayan, harga lumayan, tempat baik"
RESTO PATRIA,Metro,Kuliner,4.5,39,30000,7050,"Ruang VIP tersedia, AC, parkir luas, toilet bersih, mushola, kasir digital, menu vegetarian tersedia, katering","Enak, harga juga lumayan murah,"
Resto Ayam Desa,Metro,Kuliner,4.2,596,50000,3411,"Parkir motor & mobil, mushola, kamar mandi bersih, area lesehan, gazebo outdoor, Wi-Fi, paket catering tersedia","Pantesan rame mulu, ternyata makanannya enak, murah, pelayanannya bagus."
AKGL RESTO & CAFE,Metro,Kuliner,4.5,11,30000,7543,"Tempat parkir luas, toilet umum, area makan indoor/outdoor, taman bermain anak, Wi-Fi, live cooking",Minuman oke suasana cocok untuk bersantai .
Kedai Kopi Mas and Resto,Metro,Kuliner,4.9,30,50000,11540,"Parkir gratis, toilet, area makan terbuka dengan pemandangan alam, spot foto instagramable, Wi-Fi, kursi outdoor",tmpt ternyaman buat curhat keluh kesah wkwk!!ðŸ«¶ðŸ»
SUSI Cafe & Resto,Metro,Kuliner,4.3,115,25000,2784,"Tempat parkir luas, toilet umum, area makan indoor/outdoor, taman bermain anak, Wi-Fi, live cooking",Makan di tempat
Titik Singgah Pujasera Kota Metro,Metro,Kuliner,4.3,521,25000,3367,"Parkir motor & mobil, mushola, kamar mandi bersih, area lesehan, gazebo outdoor, Wi-Fi, paket catering tersedia","Tempat yang kurang ke urus, cuma ada soto ayam dan bubur ayam"
Resto Ayam Desa,Metro,Kuliner,4.4,661,50000,6919,"Parkir gratis, toilet, area makan terbuka dengan pemandangan alam, spot foto instagramable, Wi-Fi, kursi outdoor",Disini menunya murah-murah tapi tetep masakannya enak.
Gardenia {Rumah makan enak di metro},Metro,Kuliner,4.9,16,50000,7499,"Parkir, mushola, kamar mandi, area lesehan karpet, meja panjang untuk rombongan, AC, kulkas minuman sendiri","Makanan nya enak , murah , worth it , tempatnya nyaman"
Richeese Factory - Metro Lampung,Metro,Kuliner,4.6,635,30000,10206,"Parkir motor & mobil, mushola, kamar mandi bersih, area lesehan, gazebo outdoor, Wi-Fi, paket catering tersedia","tempatnya nyaman untuk makan sama keluarga dan kerabat, harga terjangkau"
Nasi Goreng Pondok Remaja Kota Metro,Metro,Kuliner,5,30,100000,4269,"Area parkir memadai, toilet, wastafel, ruang makan ber-AC, live music setiap akhir pekan, layanan pesan antar","Puas banget, pertama kali nemu di metro nasi goreng bumbunya fresh"
Dapur Mamaku Metro,Metro,Kuliner,4.5,197,25000,7681,"Parkir gratis, toilet, area makan terbuka dengan pemandangan alam, spot foto instagramable, Wi-Fi, kursi outdoor",Makanannya enak banget dan harga terjangkau super worth it to buyðŸ˜
Rumah makan Mawar Kota Metro (chinese food),Metro,Kuliner,4.5,567,50000,6841,"Parkir, mushola, kamar mandi, area lesehan karpet, meja panjang untuk rombongan, AC, kulkas minuman sendiri","Non halal, pelayanan lama terutama jam sibuk, rasa lumayan"
Rumah Makan AGAM,Metro,Kuliner,4.3,680,25000,1912,"Parkir gratis, toilet, area makan terbuka dengan pemandangan alam, spot foto instagramable, Wi-Fi, kursi outdoor","Parkir luas, meja makan banyak, menu variatif."
Mie Goyang Lampung - Nasution Metro,Metro,Kuliner,4.8,1697,50000,8502,"Parkir luas, toilet bersih, mushola, area makan indoor dan outdoor, AC, Wi-Fi gratis, kursi bayi tersedia, area bebas rokok","Pelayanannya bagus, makan enak dan wortid, harga wortid suasana kf enak"
DAPUR KOKIKU,Metro,Kuliner,4.7,69,30000,8238,"Area parkir memadai, toilet, wastafel, ruang makan ber-AC, live music setiap akhir pekan, layanan pesan antar",Tersedia layanan pesan anyar Grab Food dan Go Food
Cafe & resto (Dunia Bakso Glompong),Metro,Kuliner,4.2,11,30000,3012,"Parkir gratis, toilet, area makan terbuka dengan pemandangan alam, spot foto instagramable, Wi-Fi, kursi outdoor",dulu sempat kecewa sekarangg sudah oke pelayanannyaaðŸ˜
D'Lamax Cafe & Resto,Metro,Kuliner,5,7,30000,4320,"Ruang VIP tersedia, AC, parkir luas, toilet bersih, mushola, kasir digital, menu vegetarian tersedia, katering",Makan di tempat
Warung Yunisa (Iga Bakar & Ayam Presto),Metro,Kuliner,4.8,138,30000,5267,"Parkir motor & mobil, mushola, kamar mandi bersih, area lesehan, gazebo outdoor, Wi-Fi, paket catering tersedia","Mantab enak, iga bakar nya terasa bumbunya sampai ke tulang."
GULBAR,Metro,Kuliner,5,11,30000,5471,"Ruang VIP tersedia, AC, parkir luas, toilet bersih, mushola, kasir digital, menu vegetarian tersedia, katering","makanan nya enak semua, dan pelayanan nya bagus"
Bebek Prakoso,Metro,Kuliner,4.6,703,30000,6788,"Parkir motor & mobil, mushola, kamar mandi bersih, area lesehan, gazebo outdoor, Wi-Fi, paket catering tersedia","Bebeknya empuk, bumbunya terasa, sambalnya mantap..."
RM PUTI MINANG - METRO,Metro,Kuliner,4.3,536,30000,2368,"Tempat parkir luas, toilet umum, area makan indoor/outdoor, taman bermain anak, Wi-Fi, live cooking",Menunya enak harga terjangkau.di setiap cabang disediakan musholla
